datetime,open,high,low,close,volume
2024-01-01 09:15:00,22000.0,22001.7,21981.48,21992.18,46007
2024-01-01 09:20:00,21992.18,21997.24,21919.76,21923.82,44724
2024-01-01 09:25:00,21923.82,21932.72,21906.15,21929.19,57262
2024-01-01 09:30:00,21929.19,21945.53,21913.77,21934.31,51374
2024-01-01 09:35:00,21934.31,21994.8,21932.69,21994.17,55470
2024-01-01 09:40:00,21994.17,21998.93,21920.36,21927.81,60373
2024-01-01 09:45:00,21927.81,21933.53,21913.16,21916.93,59066
2024-01-01 09:50:00,21916.93,21925.56,21843.37,21866.31,10238
2024-01-01 09:55:00,21866.31,21880.18,21834.75,21848.01,57371
2024-01-01 10:00:00,21848.01,21860.84,21796.05,21811.19,46600
2024-01-01 10:05:00,21811.19,21812.92,21790.02,21802.39,57000
2024-01-01 10:10:00,21802.39,21822.87,21795.16,21813.05,38840
2024-01-01 10:15:00,21813.05,21820.15,21783.91,21791.45,44249
2024-01-01 10:20:00,21791.45,21874.48,21774.86,21862.07,58867
2024-01-01 10:25:00,21862.07,21912.9,21849.41,21905.23,68308
2024-01-01 10:30:00,21905.23,21926.83,21894.39,21902.46,61514
2024-01-01 10:35:00,21902.46,21902.97,21854.89,21858.73,43309
2024-01-01 10:40:00,21858.73,21889.54,21823.57,21880.74,56736
2024-01-01 10:45:00,21880.74,21889.26,21849.75,21862.35,61505
2024-01-01 10:50:00,21862.35,21863.41,21833.93,21845.27,37455
2024-01-01 10:55:00,21845.27,21873.14,21820.09,21836.47,39690
2024-01-01 11:00:00,21836.47,21867.21,21836.19,21849.14,51589
2024-01-01 11:05:00,21849.14,21870.73,21835.62,21854.31,51766
2024-01-01 11:10:00,21854.31,21867.99,21818.02,21823.78,65447
2024-01-01 11:15:00,21823.78,21853.31,21817.53,21822.96,70701
2024-01-01 11:20:00,21822.96,21834.34,21805.9,21826.53,45671
2024-01-01 11:25:00,21826.53,21882.03,21816.11,21869.66,13741
2024-01-01 11:30:00,21869.66,21899.72,21861.33,21891.29,38834
2024-01-01 11:35:00,21891.29,21917.47,21875.29,21891.31,41698
2024-01-01 11:40:00,21891.31,21939.49,21885.79,21932.71,49241
2024-01-01 11:45:00,21932.71,21936.05,21876.72,21895.07,60542
2024-01-01 11:50:00,21895.07,21929.89,21890.81,21895.25,67438
2024-01-01 11:55:00,21895.25,21897.1,21850.91,21855.8,72892
2024-01-01 12:00:00,21855.8,21870.8,21796.05,21804.98,69847
2024-01-01 12:05:00,21804.98,21827.38,21797.1,21826.59,29925
2024-01-01 12:10:00,21826.59,21835.49,21796.04,21832.59,39069
2024-01-01 12:15:00,21832.59,21866.11,21826.61,21842.37,51586
2024-01-01 12:20:00,21842.37,21889.34,21841.7,21867.4,31804
2024-01-01 12:25:00,21867.4,21889.2,21859.95,21881.36,37788
2024-01-01 12:30:00,21881.36,21917.14,21870.75,21915.81,66123
2024-01-01 12:35:00,21915.81,21938.75,21883.12,21934.4,51336
2024-01-01 12:40:00,21934.4,21936.1,21902.97,21925.49,49542
